half-seas-over.s.01,British informal for `intoxicated'
purcell.n.01,English organist at Westminster Abbey and composer of many theatrical pieces (1659-1695)
purkinje.n.01,Bohemian physiologist remembered for his discovery of Purkinje cells and the Purkinje network (1787-1869)
pusey.n.01,English theologian who (with John Henry Newman and John Keble) founded the Oxford movement (1800-1882)
pushkin.n.01,Russian poet (1799-1837)
putin.n.01,Russian statesman chosen as president of the Russian Federation in 2000; formerly director of the Federal Security Bureau (born in 1952)
pyle.n.01,United States writer and illustrator of children's books (1853-1911)
pynchon.n.01,United States writer of pessimistic novels about life in a technologically advanced society (born in 1937)
pythagoras.n.01,Greek philosopher and mathematician who proved the Pythagorean theorem; considered to be the first true mathematician (circa 580-500 BC)
qaddafi.n.01,Libyan leader who seized power in a military coup d'etat in 1969; deposed the Libyan monarchy and imposed socialism and Islamic orthodoxy on the country (born in 1942)
quincy.n.01,American patriot who presented the colonists' grievances to the English king (1744-1775)
quine.n.01,United States philosopher and logician who championed an empirical view of knowledge that depended on language (1908-2001)
racine.n.01,French advocate of Jansenism; tragedian who based his works on Greek and Roman themes (1639-1699)
radhakrishnan.n.01,Indian philosopher and statesman who introduced Indian philosophy to the West (1888-1975)
raffles.n.01,British colonial administrator who founded Singapore (1781-1826)
raleigh.n.01,English courtier (a favorite of Elizabeth I) who tried to colonize Virginia; introduced potatoes and tobacco to England (1552-1618)
rameau.n.01,French composer of operas whose writings laid the foundation for the modern theory of harmony (1683-1764)
ramon_y_cajal.n.01,Spanish histologist noted for his work on the structure of the nervous system (1852-1934)
rand.n.02,United States writer (born in Russia) noted for her polemical novels and political conservativism (1905-1982)
raphael.n.01,Italian painter whose many paintings exemplify the ideals of the High Renaissance (1483-1520)
rask.n.01,Danish philologist whose work on Old Norse pioneered in the field of comparative linguistics (1787-1832)
rasmussen.n.01,Danish ethnologist and Arctic explorer; led expeditions into the Arctic to find support for his theory that Eskimos and North American Indians originally migrated from Asia (1879-1933)
rasputin.n.01,Siberian peasant monk who was religious advisor in the court of Nicholas II; was assassinated by Russian noblemen who feared that his debauchery would weaken the monarchy (1872-1916)
rattigan.n.01,British playwright (1911-1977)
ravel.n.01,French composer and exponent of Impressionism (1875-1937)
rayleigh.n.01,English physicist who studied the density of gases and discovered argon; made important contributions to acoustic theory (1842-1919)
reaumur.n.01,French physicist who invented the alcohol thermometer (1683-1757)
redford.n.01,United States actor and filmmaker who starred with Paul Newman in several films (born in 1936)
reed.n.03,United States physician who proved that yellow fever is transmitted by mosquitoes (1851-1902)
reed.n.02,United States journalist who reported on the October Revolution from Petrograd in 1917; founded the Communist Labor Party in America in 1919; is buried in the Kremlin in Moscow (1887-1920)
rehnquist.n.01,"United States jurist who served as an associate justice on the United States Supreme Court from 1972 until 1986, when he was appointed chief justice (born in 1924)"
reich.n.03,United States composer (born in 1936)
reich.n.02,Austrian born psychoanalyst who lived in the United States; advocated sexual freedom and believed that cosmic energy could be concentrated in a human being (1897-1957)
reid.n.01,Scottish philosopher of common sense who opposed the ideas of David Hume (1710-1796)
reiter.n.01,German bacteriologist who described a disease now known as Reiter's syndrome and who identified the spirochete that causes syphilis in humans (1881-1969)
renoir.n.01,French impressionist painter (1841-1919)
respighi.n.01,Italian composer remembered for his symphonic poems (1879-1936)
revere.n.01,American silversmith remembered for his midnight ride (celebrated in a poem by Longfellow) to warn the colonists in Lexington and Concord that British troops were coming (1735-1818)
reynolds.n.01,English portrait painter and first president of the Royal Academy (1723-1792)
rhine.n.01,United States parapsychologist (1895-1980)
rhodes.n.01,British colonial financier and statesman in South Africa; made a fortune in gold and diamond mining; helped colonize the territory now known as Zimbabwe; he endowed annual fellowships for British Commonwealth and United States students to study at Oxford University (1853-1902)
ricardo.n.01,English economist who argued that the laws of supply and demand should operate in a free market (1772-1823)
rice.n.04,United States playwright (1892-1967)
rice.n.03,English lyricist who frequently worked with Andrew Lloyd Webber (born in 1944)
richard_ii.n.01,King of England from 1377 to 1399; he suppressed the Peasant's Revolt in 1381 but his reign was marked by popular discontent and baronial opposition in British Parliament and he was forced to abdicate in 1399 (1367-1400)
richard_iii.n.01,King of England from 1483 to 1485; seized the throne from his nephew Edward V who was confined to the Tower of London and murdered; his reign ended when he was defeated by Henry Tudor (later Henry VII) at the battle of Bosworth Field (1452-1485)
richards.n.01,English literary critic who collaborated with C. K. Ogden and contributed to the development of Basic English (1893-1979)
richardson.n.02,British stage and screen actor noted for playing classic roles (1902-1983)
richardson.n.01,United States architect (1838-1886)
richelieu.n.01,French prelate and statesman; principal minister to Louis XIII (1585-1642)
richler.n.01,Canadian novelist (born in 1931)
rickover.n.01,United States admiral who advocated the development of nuclear submarines (1900-1986)
riesman.n.01,United States sociologist (1909-2002)
riley.n.01,United States poet (1849-1916)
rilke.n.01,German poet (born in Austria) whose imagery and mystic lyricism influenced 20th-century German literature (1875-1926)
rimbaud.n.01,French poet whose work influenced the surrealists (1854-1891)
rimsky-korsakov.n.01,Russian composer of operas and orchestral works; often used themes from folk music (1844-1908)
ringling.n.01,United States showman whose song-and-dance troop evolved into a circus (1863-1926)
rittenhouse.n.01,United States astronomer said to have built the first telescope made in America; also the first director of the United States Mint (1732-1796)
ritz.n.01,Swiss hotelier who created a chain of elegant hotels (1850-1918)
robbins.n.01,United States choreographer who brought human emotion to classical ballet and spirited reality to Broadway musicals (1918-1998)
robert.n.01,United States parliamentary authority and author (in 1876) of Robert's Rules of Order (1837-1923)
roberts.n.03,United States writer remembered for his historical novels about colonial America (1885-1957)
roberts.n.02,United States evangelist (born 1918)
roberts.n.01,United States biochemist (born in England) honored for his discovery that some genes contain introns (born in 1943)
robertson.n.01,United States basketball guard (born in 1938)
robeson.n.01,United States bass singer and an outspoken critic of racism and proponent of socialism (1898-1976)
robespierre.n.01,French revolutionary; leader of the Jacobins and architect of the Reign of Terror; was himself executed in a coup d'etat (1758-1794)
robinson.n.07,United States film actor noted for playing gangster roles (1893-1973)
robinson.n.06,United States poet; author of narrative verse (1869-1935)
robinson.n.05,United States baseball player; first Black to play in the major leagues (1919-1972)
robinson.n.04,United States historian who stressed the importance of intellectual and social events for the course of history (1863-1936)
robinson.n.03,Irish playwright and theater manager in Dublin (1886-1958)
robinson.n.02,United States prizefighter who won the world middleweight championship five times and the world welterweight championship once (1921-1989)
robinson.n.01,English chemist noted for his studies of molecular structures in plants (1886-1975)
rochambeau.n.01,"French general who commanded French troops in the American Revolution, notably at Yorktown (1725-1807)"
rock.n.03,United States gynecologist and devout Catholic who conducted the first clinical trials of the oral contraceptive pill (1890-1984)
rockefeller.n.01,United States industrialist who made a fortune in the oil business and gave half of it away (1839-1937)
rockingham.n.01,English statesman who served as prime minister and who opposed the war with the American colonies (1730-1782)
rockwell.n.01,United States illustrator whose works present a sentimental idealized view of everyday life (1894-1978)
rodgers.n.01,United States composer of musical comedies (especially in collaboration with Oscar Hammerstein II and with Lorenz Hart) (1902-1979)
rodin.n.01,French sculptor noted for his renderings of the human form (1840-1917)
roebling.n.01,United States engineer (born in Germany) who designed and began construction of the Brooklyn bridge (1806-1869)
roentgen.n.02,German physicist who discovered x-rays and developed roentgenography (1845-1923)
